ptp,rt,row,col,correct,condition,stage,stimulus,corr_row,corr_col,trial_type,trial_index,time_elapsed,internal_node_id,session_global,session_condition,response_dist_cb,rougly_correct
48652,NA,NA,NA,NA,adj_6_6,schema_learning,img/targets/BOSS/downsized/buffaloskull.jpg,6,3,playground,0,4026,0.0-0.0-0.0,1,1,NA,0
48652,825,6,6,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/bulletbelt.jpg,7,7,playground,1,6366,0.0-0.0-0.1,1,1,2,0
48652,2739,10,8,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/bulldozer.jpg,9,4,playground,2,10621,0.0-0.0-0.2,1,1,-5,0
48652,1159,5,4,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/bullet.jpg,3,6,playground,3,13297,0.0-0.0-0.3,1,1,0,1
48652,1461,2,12,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/butterfly.jpg,5,10,playground,4,16270,0.0-0.0-0.4,1,1,1,1
48652,1393,8,5,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/buffaloskull.jpg,6,3,playground,5,19182,0.0-0.0-0.5,1,1,-4,0
48652,1437,9,9,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/bulldozer.jpg,9,4,playground,6,22139,0.0-0.0-0.6,1,1,-5,0
48652,1484,6,3,1,adj_6_6,schema_learning,img/targets/BOSS/downsized/buffaloskull.jpg,6,3,playground,7,25137,0.0-0.0-0.7,1,1,0,1
48652,NA,NA,NA,NA,adj_6_6,schema_learning,img/targets/BOSS/downsized/butterfly.jpg,5,10,playground,8,29663,0.0-0.0-0.8,1,1,NA,0
48652,1641,11,10,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/bun.jpg,10,9,playground,9,32824,0.0-0.0-0.9,1,1,-2,0
48652,1480,6,6,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/bulletbelt.jpg,7,7,playground,10,35826,0.0-0.0-0.10,1,1,2,0
48652,1773,5,10,1,adj_6_6,schema_learning,img/targets/BOSS/downsized/butterfly.jpg,5,10,playground,11,39110,0.0-0.0-0.11,1,1,0,1
48652,1677,9,8,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/bulldozer.jpg,9,4,playground,12,42292,0.0-0.0-0.12,1,1,-4,0
48652,1446,6,10,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/butterfly.jpg,5,10,playground,13,45244,0.0-0.0-0.13,1,1,-1,1
48652,2490,8,7,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/bulletbelt.jpg,7,7,playground,14,49248,0.0-0.0-0.14,1,1,-1,1
48652,1899,10,9,1,adj_6_6,schema_learning,img/targets/BOSS/downsized/bun.jpg,10,9,playground,15,52669,0.0-0.0-0.15,1,1,0,1
48652,1332,8,4,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/buffaloskull.jpg,6,3,playground,16,55521,0.0-0.0-0.16,1,1,-3,0
48652,1504,5,7,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/bullet.jpg,3,6,playground,17,58547,0.0-0.0-0.17,1,1,-3,0
48652,2188,10,9,1,adj_6_6,schema_learning,img/targets/BOSS/downsized/bun.jpg,10,9,playground,18,62255,0.0-0.0-0.18,1,1,0,1
48652,1820,5,10,1,adj_6_6,schema_learning,img/targets/BOSS/downsized/butterfly.jpg,5,10,playground,19,65598,0.0-0.0-0.19,1,1,0,1
48652,2193,10,8,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/bulldozer.jpg,9,4,playground,20,69311,0.0-0.0-0.20,1,1,-5,0
48652,2206,6,7,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/bulletbelt.jpg,7,7,playground,21,73048,0.0-0.0-0.21,1,1,1,1
48652,1919,7,3,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/buffaloskull.jpg,6,3,playground,22,76495,0.0-0.0-0.22,1,1,-1,1
48652,1713,5,10,1,adj_6_6,schema_learning,img/targets/BOSS/downsized/butterfly.jpg,5,10,playground,23,79721,0.0-0.0-0.23,1,1,0,1
48652,1666,10,9,1,adj_6_6,schema_learning,img/targets/BOSS/downsized/bun.jpg,10,9,playground,24,82902,0.0-0.0-0.24,1,1,0,1
48652,1537,5,10,1,adj_6_6,schema_learning,img/targets/BOSS/downsized/butterfly.jpg,5,10,playground,25,85969,0.0-0.0-0.25,1,1,0,1
48652,1409,8,4,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/buffaloskull.jpg,6,3,playground,26,88883,0.0-0.0-0.26,1,1,-3,0
48652,1766,6,7,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/bulletbelt.jpg,7,7,playground,27,92166,0.0-0.0-0.27,1,1,1,1
48652,2139,4,6,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/bullet.jpg,3,6,playground,28,95826,0.0-0.0-0.28,1,1,-1,1
48652,1477,10,9,1,adj_6_6,schema_learning,img/targets/BOSS/downsized/bun.jpg,10,9,playground,29,98827,0.0-0.0-0.29,1,1,0,1
48652,1812,9,3,0,adj_6_6,schema_learning,img/targets/BOSS/downsized/bulldozer.jpg,9,4,playground,30,102156,0.0-0.0-0.30,1,1,1,1
