"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"5e8e5058e690d70ebefeb033","101065.699999999","8093.39999999851","112638.399999999","2804.19999999925","65374.6999999993","4416.80000000075","73994.8999999985","95209.0999999978","50958.3000000007"
"5f57c4a6dff3f02ce0a8f1f5","49271.1000000238","5921.40000003576","35807.6999999881","26073.3999999762","32147.3999999762","12636.6000000238","20297.8999999762","1218.5","187359.800000012"
"609478fa9e5b4d075246cfaf","121743.5","6390.39999999106","102391.299999997","2705.5","56079.6000000089","2346.29999999702","124987.200000003","2577","122763.700000003"
"60e43d16eb3536f1618652fb","222121.5","17811.799999997","55049.5","33958.5","98287.900000006","6476.60000000894","97401.3000000119","13320.5","91823.400000006"
"5c9a698bd40ce2001423396e","49920.1000000089","4656.90000000596","76251.5","173068.799999997","54902.5","1669.89999999106","58789.1000000089","1751.29999999702","245802"
"5d776e218a8d1d00166d36a6","68076","21448","41616","3661","67374","4392","51230","7003","55841"
"604fa685e33606f9a0ee8189","44214.9000000358","2878","49048.8000000119","1194.5","39746.5","33302.3000000119","58843.9000000358","697.199999988079","41314.8000000119"
"6047ae5953a87c02d47fc454","130923","11130","61416.3000000119","3577.80000001192","41201.5","2715.39999997616","70992.1999999881","1718.89999997616","88854.1999999881"
"5dc983b9902a986ae3ac3edc","85640.2999999989","46005.8000000007","31601.0999999996","3048.19999999925","68576.5999999996","2989.60000000149","53679.0999999996","18735.1999999993","32472.7000000011"
"615a170c6eca532c6f57e09c","40627.7999999523","8727.40000009537","42111.7000000477","1938.40000009537","32076.7999999523","13104.2000000477","29430.6000001431","2388","77775"
"5f919274b5383b00096b0295","97742.3999998569","8929.20000004768","118657.5","6936","85450.3999998569","2141.59999990463","158692.800000191","3750.09999990463","76700.7000000477"
