ptp_trunk,condition,mean_correct_one_square_away,n_perm_less,n_perm,percentile_sim,qc_fail
5c9a698...,schema_c,0.9583333333333334,10000,10000,100,FALSE
5c9a698...,schema_ic,0.8333333333333334,10000,10000,100,FALSE
5c9a698...,landmark_schema,0.9583333333333334,10000,10000,100,FALSE
5c9a698...,random_locations,0.625,10000,10000,100,FALSE
5c9a698...,no_schema,0.7916666666666666,10000,10000,100,FALSE
5d776e2...,schema_c,0.7916666666666666,10000,10000,100,FALSE
5d776e2...,schema_ic,0.4166666666666667,9994,10000,99.94,FALSE
5d776e2...,landmark_schema,0.5,10000,10000,100,FALSE
5d776e2...,random_locations,0.5416666666666666,10000,10000,100,FALSE
5d776e2...,no_schema,0.7083333333333334,10000,10000,100,FALSE
5dc983b...,schema_c,0.5833333333333334,10000,10000,100,FALSE
5dc983b...,schema_ic,0.625,10000,10000,100,FALSE
5dc983b...,landmark_schema,0.5833333333333334,10000,10000,100,FALSE
5dc983b...,random_locations,0.3333333333333333,9959,10000,99.59,FALSE
5dc983b...,no_schema,0.8333333333333334,10000,10000,100,FALSE
5e8e505...,schema_c,0.4166666666666667,9998,10000,99.98,FALSE
5e8e505...,schema_ic,0.5833333333333334,10000,10000,100,FALSE
5e8e505...,landmark_schema,0.6666666666666666,10000,10000,100,FALSE
5e8e505...,random_locations,0.5,10000,10000,100,FALSE
5e8e505...,no_schema,0.625,10000,10000,100,FALSE
5f57c4a...,schema_c,0.4166666666666667,10000,10000,100,FALSE
5f57c4a...,schema_ic,0.75,10000,10000,100,FALSE
5f57c4a...,landmark_schema,0.5833333333333334,10000,10000,100,FALSE
5f57c4a...,random_locations,0.9583333333333334,10000,10000,100,FALSE
5f57c4a...,no_schema,0.8333333333333334,10000,10000,100,FALSE
5f91927...,schema_c,0.875,10000,10000,100,FALSE
5f91927...,schema_ic,0.9583333333333334,10000,10000,100,FALSE
5f91927...,landmark_schema,1,10000,10000,100,FALSE
5f91927...,random_locations,0.75,10000,10000,100,FALSE
5f91927...,no_schema,0.8333333333333334,10000,10000,100,FALSE
6047ae5...,schema_c,0.875,10000,10000,100,FALSE
6047ae5...,schema_ic,0.9166666666666666,10000,10000,100,FALSE
6047ae5...,landmark_schema,0.875,10000,10000,100,FALSE
6047ae5...,random_locations,0.875,10000,10000,100,FALSE
6047ae5...,no_schema,0.9583333333333334,10000,10000,100,FALSE
604fa68...,schema_c,0.6666666666666666,10000,10000,100,FALSE
604fa68...,schema_ic,0.4166666666666667,10000,10000,100,FALSE
604fa68...,landmark_schema,0.6666666666666666,10000,10000,100,FALSE
604fa68...,random_locations,0.5416666666666666,10000,10000,100,FALSE
604fa68...,no_schema,0.5,10000,10000,100,FALSE
609478f...,schema_c,0.041666666666666664,5810,10000,58.1,TRUE
609478f...,schema_ic,0.08333333333333333,2353,10000,23.53,TRUE
609478f...,landmark_schema,0.20833333333333334,9082,10000,90.82,TRUE
609478f...,random_locations,0.08333333333333333,3597,10000,35.97,TRUE
609478f...,no_schema,0.8333333333333334,10000,10000,100,FALSE
60e43d1...,schema_c,0.9166666666666666,10000,10000,100,FALSE
60e43d1...,schema_ic,0.9166666666666666,10000,10000,100,FALSE
60e43d1...,landmark_schema,0.9166666666666666,10000,10000,100,FALSE
60e43d1...,random_locations,0.6666666666666666,10000,10000,100,FALSE
60e43d1...,no_schema,0.875,10000,10000,100,FALSE
615a170...,schema_c,0.875,10000,10000,100,FALSE
615a170...,schema_ic,0.9583333333333334,10000,10000,100,FALSE
615a170...,landmark_schema,0.7083333333333334,10000,10000,100,FALSE
615a170...,random_locations,0.9583333333333334,10000,10000,100,FALSE
615a170...,no_schema,0.9166666666666666,10000,10000,100,FALSE
