ptp_trunk,mean_correct_one_square_away,n_perm_less,n_perm,percentile_sim,qc_fail
5c9a698...,0.8333333333333334,10000,10000,100,FALSE
5d776e2...,0.5916666666666667,10000,10000,100,FALSE
5dc983b...,0.5916666666666667,10000,10000,100,FALSE
5e8e505...,0.5583333333333333,10000,10000,100,FALSE
5f57c4a...,0.7083333333333334,10000,10000,100,FALSE
5f91927...,0.8833333333333333,10000,10000,100,FALSE
6047ae5...,0.9,10000,10000,100,FALSE
604fa68...,0.5583333333333333,10000,10000,100,FALSE
609478f...,0.25,10000,10000,100,FALSE
60e43d1...,0.8583333333333333,10000,10000,100,FALSE
615a170...,0.8833333333333333,10000,10000,100,FALSE
