ptp_trunk,n_perm,mean_correct_one_square_away,mean_correct_exact,n_perm_less_correct_one_square_away,n_perm_less_correct_exact,percentile_sim_correct_one_square_away,percentile_sim_correct_exact,qc_fail_correct_one_square_away,qc_fail_correct_exact
5c9a698...,10000,0.9333333333333333,0.55,10000,10000,100,100,FALSE,FALSE
5d776e2...,10000,0.5833333333333334,0.11666666666666667,10000,8917,100,89.17,FALSE,TRUE
5dc983b...,10000,0.5666666666666667,0.16666666666666666,10000,9928,100,99.28,FALSE,FALSE
5e8e505...,10000,0.6333333333333333,0.26666666666666666,10000,10000,100,100,FALSE,FALSE
5f57c4a...,10000,0.8666666666666667,0.23333333333333334,10000,9999,100,99.99,FALSE,FALSE
5f91927...,10000,0.9,0.43333333333333335,10000,10000,100,100,FALSE,FALSE
6047ae5...,10000,0.9333333333333333,0.2833333333333333,10000,10000,100,100,FALSE,FALSE
604fa68...,10000,0.6166666666666667,0.21666666666666667,10000,9999,100,99.99,FALSE,FALSE
609478f...,10000,0.2,0.1,9987,8003,99.87,80.03,FALSE,TRUE
60e43d1...,10000,0.9,0.38333333333333336,10000,10000,100,100,FALSE,FALSE
615a170...,10000,0.9,0.35,10000,10000,100,100,FALSE,FALSE
