ptp_trunk,n_perm,mean_correct_one_square_away,mean_correct_exact,n_perm_less_correct_one_square_away,n_perm_less_correct_exact,percentile_sim_correct_one_square_away,percentile_sim_correct_exact,qc_fail_correct_one_square_away,qc_fail_correct_exact
5c9a698...,10000,0.7333333333333333,0.23333333333333334,10000,9998,100,99.98,FALSE,FALSE
5d776e2...,10000,0.6,0.23333333333333334,10000,10000,100,100,FALSE,FALSE
5dc983b...,10000,0.6166666666666667,0.25,10000,10000,100,100,FALSE,FALSE
5e8e505...,10000,0.48333333333333334,0.06666666666666667,10000,3214,100,32.14,FALSE,TRUE
5f57c4a...,10000,0.55,0.16666666666666666,10000,9878,100,98.78,FALSE,FALSE
5f91927...,10000,0.8666666666666667,0.23333333333333334,10000,9998,100,99.98,FALSE,FALSE
6047ae5...,10000,0.8666666666666667,0.2,10000,9978,100,99.78,FALSE,FALSE
604fa68...,10000,0.5,0.21666666666666667,10000,9996,100,99.96,FALSE,FALSE
609478f...,10000,0.3,0.06666666666666667,10000,3209,100,32.09,FALSE,TRUE
60e43d1...,10000,0.8166666666666667,0.43333333333333335,10000,10000,100,100,FALSE,FALSE
615a170...,10000,0.8666666666666667,0.18333333333333332,10000,9946,100,99.46,FALSE,FALSE
