id_ptp,ptp_trunk,id,mean_correct_one_square_away_shuff,mean_correct_one_square_away,mean_correct_exact_shuff,mean_correct_exact
1,5c9a698...,1,0.25,0.65,0.15,0.2
1,5c9a698...,2,0.35,0.65,0.35,0.2
1,5c9a698...,3,0.4,0.65,0.2,0.2
1,5c9a698...,4,0.2,0.65,0.15,0.2
1,5c9a698...,5,0.35,0.65,0.3,0.2
1,5c9a698...,6,0.4,0.65,0.45,0.2
1,5c9a698...,7,0.2,0.65,0.25,0.2
1,5c9a698...,8,0.35,0.65,0.3,0.2
1,5c9a698...,9,0.45,0.65,0.5,0.2
1,5c9a698...,10,0.15,0.65,0.15,0.2
1,5c9a698...,11,0.4,0.65,0.35,0.2
1,5c9a698...,12,0.3,0.65,0.35,0.2
1,5c9a698...,13,0.25,0.65,0.35,0.2
1,5c9a698...,14,0.25,0.65,0.3,0.2
1,5c9a698...,15,0.3,0.65,0.3,0.2
1,5c9a698...,16,0.25,0.65,0.25,0.2
1,5c9a698...,17,0.25,0.65,0.25,0.2
1,5c9a698...,18,0.35,0.65,0.25,0.2
1,5c9a698...,19,0.35,0.65,0.4,0.2
1,5c9a698...,20,0.2,0.65,0.2,0.2
1,5c9a698...,21,0.2,0.65,0.2,0.2
1,5c9a698...,22,0.25,0.65,0.25,0.2
1,5c9a698...,23,0.3,0.65,0.3,0.2
1,5c9a698...,24,0.25,0.65,0.3,0.2
1,5c9a698...,25,0.25,0.65,0.1,0.2
1,5c9a698...,26,0.35,0.65,0.35,0.2
1,5c9a698...,27,0.4,0.65,0.45,0.2
1,5c9a698...,28,0.45,0.65,0.2,0.2
1,5c9a698...,29,0.05,0.65,0.1,0.2
1,5c9a698...,30,0.25,0.65,0.2,0.2
1,5c9a698...,31,0.35,0.65,0.35,0.2
1,5c9a698...,32,0.25,0.65,0.25,0.2
1,5c9a698...,33,0.4,0.65,0.4,0.2
1,5c9a698...,34,0.25,0.65,0.3,0.2
1,5c9a698...,35,0.2,0.65,0.15,0.2
1,5c9a698...,36,0.3,0.65,0.2,0.2
1,5c9a698...,37,0.4,0.65,0.4,0.2
1,5c9a698...,38,0.45,0.65,0.3,0.2
1,5c9a698...,39,0.25,0.65,0.15,0.2
1,5c9a698...,40,0.3,0.65,0.3,0.2
1,5c9a698...,41,0.45,0.65,0.25,0.2
1,5c9a698...,42,0.35,0.65,0.15,0.2
1,5c9a698...,43,0.2,0.65,0.3,0.2
1,5c9a698...,44,0.5,0.65,0.5,0.2
1,5c9a698...,45,0.35,0.65,0.4,0.2
1,5c9a698...,46,0.25,0.65,0.3,0.2
1,5c9a698...,47,0.25,0.65,0.35,0.2
1,5c9a698...,48,0.3,0.65,0.25,0.2
1,5c9a698...,49,0.3,0.65,0.2,0.2
1,5c9a698...,50,0.4,0.65,0.4,0.2
1,5c9a698...,51,0.25,0.65,0.3,0.2
1,5c9a698...,52,0.2,0.65,0.4,0.2
1,5c9a698...,53,0.3,0.65,0.3,0.2
1,5c9a698...,54,0.4,0.65,0.35,0.2
1,5c9a698...,55,0.35,0.65,0.25,0.2
1,5c9a698...,56,0.5,0.65,0.25,0.2
1,5c9a698...,57,0.35,0.65,0.4,0.2
1,5c9a698...,58,0.35,0.65,0.3,0.2
1,5c9a698...,59,0.3,0.65,0.15,0.2
1,5c9a698...,60,0.45,0.65,0.2,0.2
1,5c9a698...,61,0.15,0.65,0.1,0.2
1,5c9a698...,62,0.5,0.65,0.35,0.2
1,5c9a698...,63,0.2,0.65,0.05,0.2
1,5c9a698...,64,0,0.65,0,0.2
1,5c9a698...,65,0.35,0.65,0.4,0.2
1,5c9a698...,66,0.5,0.65,0.45,0.2
1,5c9a698...,67,0.35,0.65,0.25,0.2
1,5c9a698...,68,0.25,0.65,0.4,0.2
1,5c9a698...,69,0.25,0.65,0.3,0.2
1,5c9a698...,70,0.35,0.65,0.4,0.2
1,5c9a698...,71,0.25,0.65,0.15,0.2
1,5c9a698...,72,0.25,0.65,0.25,0.2
1,5c9a698...,73,0.35,0.65,0.2,0.2
1,5c9a698...,74,0.2,0.65,0.2,0.2
1,5c9a698...,75,0.55,0.65,0.35,0.2
1,5c9a698...,76,0.25,0.65,0.25,0.2
1,5c9a698...,77,0.45,0.65,0.45,0.2
1,5c9a698...,78,0.35,0.65,0.1,0.2
1,5c9a698...,79,0.2,0.65,0.1,0.2
1,5c9a698...,80,0.2,0.65,0.2,0.2
1,5c9a698...,81,0.35,0.65,0.45,0.2
1,5c9a698...,82,0.15,0.65,0.2,0.2
1,5c9a698...,83,0.35,0.65,0.35,0.2
1,5c9a698...,84,0.3,0.65,0.3,0.2
1,5c9a698...,85,0.3,0.65,0.25,0.2
1,5c9a698...,86,0.3,0.65,0.35,0.2
1,5c9a698...,87,0.2,0.65,0.25,0.2
1,5c9a698...,88,0.25,0.65,0.15,0.2
