ptp_trunk,n_perm,mean_correct_one_square_away,mean_correct_exact,n_perm_less_correct_one_square_away,n_perm_less_correct_exact,percentile_sim_correct_one_square_away,percentile_sim_correct_exact,qc_fail_correct_one_square_away,qc_fail_correct_exact
5c9a698...,10000,0.8333333333333334,0.39166666666666666,10000,10000,100,100,FALSE,FALSE
5d776e2...,10000,0.5916666666666667,0.175,10000,10000,100,100,FALSE,FALSE
5dc983b...,10000,0.5916666666666667,0.20833333333333334,10000,10000,100,100,FALSE,FALSE
5e8e505...,10000,0.5583333333333333,0.16666666666666666,10000,10000,100,100,FALSE,FALSE
5f57c4a...,10000,0.7083333333333334,0.2,10000,10000,100,100,FALSE,FALSE
5f91927...,10000,0.8833333333333333,0.3333333333333333,10000,10000,100,100,FALSE,FALSE
6047ae5...,10000,0.9,0.24166666666666667,10000,10000,100,100,FALSE,FALSE
604fa68...,10000,0.5583333333333333,0.21666666666666667,10000,10000,100,100,FALSE,FALSE
609478f...,10000,0.25,0.08333333333333333,10000,9883,100,98.83,FALSE,FALSE
60e43d1...,10000,0.8583333333333333,0.4083333333333333,10000,10000,100,100,FALSE,FALSE
615a170...,10000,0.8833333333333333,0.26666666666666666,10000,10000,100,100,FALSE,FALSE
