ptp_trunk,n_perm,mean_correct_one_square_away,mean_correct_exact,n_perm_less_correct_one_square_away,n_perm_less_correct_exact,percentile_sim_correct_one_square_away,percentile_sim_correct_exact,qc_fail_correct_one_square_away,qc_fail_correct_exact
5c9a698...,10000,0.7142857142857143,0.21428571428571427,10000,5965,100,59.65,FALSE,TRUE
5d776e2...,10000,0.5714285714285714,0.14285714285714285,10000,2134,100,21.34,FALSE,TRUE
5dc983b...,10000,0.5,0.07142857142857142,9831,205,98.31,2.05,FALSE,TRUE
5e8e505...,10000,0.5,0.03571428571428571,9999,29,99.99,0.29,FALSE,TRUE
5f57c4a...,10000,0.5,0.10714285714285714,10000,909,100,9.09,FALSE,TRUE
5f91927...,10000,0.8571428571428571,0.14285714285714285,10000,2166,100,21.66,FALSE,TRUE
6047ae5...,10000,0.8928571428571429,0.14285714285714285,10000,2227,100,22.27,FALSE,TRUE
604fa68...,10000,0.5714285714285714,0.32142857142857145,9928,9471,99.28,94.71,FALSE,TRUE
609478f...,10000,0.25,0.07142857142857142,9636,223,96.36,2.23,FALSE,TRUE
60e43d1...,10000,0.8928571428571429,0.39285714285714285,10000,9921,100,99.21,FALSE,FALSE
615a170...,10000,0.8214285714285714,0.14285714285714285,10000,2112,100,21.12,FALSE,TRUE
